开始时间：,2025-10-21 14.40.19.061,2025-10-21 14.40.19.061,2025-10-21 14.40.19.061,2025-10-21 14.40.19.061,2025-10-21 14.40.19.061,2025-10-21 14.40.19.061
结束时间：,2025-10-21 14.42.49.056,2025-10-21 14.42.49.056,2025-10-21 14.42.49.056,2025-10-21 14.42.49.056,2025-10-21 14.42.49.056,2025-10-21 14.42.49.056
采样频率：,200Hz,200Hz,200Hz,200Hz,200Hz,200Hz
数据长度：,30000,30000,30000,30000,30000,30000
序列号:,201119103,201119084,201119085,201119088,201119101,201119105
测点标签:,1,9084,9085,9088,9101,9105
序号：,波高(mm),波高(mm),波高(mm),波高(mm),波高(mm),波高(mm)
1,1.7280,1.6941,-2.3645,-2.0127,-1.0183,-4.2888
2,1.7680,1.9201,-2.2507,-1.9513,-0.9665,-4.4179
3,1.7951,2.1460,-2.1274,-1.8451,-0.9021,-4.5248
4,1.7937,2.3699,-2.0039,-1.8230,-0.8571,-4.6668
5,1.8293,2.5976,-1.8757,-1.7324,-0.7939,-4.7307
6,1.8198,2.8574,-1.7624,-1.6483,-0.7043,-4.8683
7,1.8405,3.0665,-1.6279,-1.5797,-0.6395,-4.8911
8,1.8391,3.2369,-1.5066,-1.4904,-0.5706,-5.0379
9,1.8361,3.4319,-1.3909,-1.4423,-0.5095,-5.0824
10,1.8479,3.5921,-1.2698,-1.4007,-0.4655,-5.1737
11,1.8689,3.7619,-1.1288,-1.3134,-0.3973,-5.1951
12,1.8801,3.9231,-1.0290,-1.2474,-0.3748,-5.2906
13,1.9015,4.0806,-0.9098,-1.1886,-0.3080,-5.2877
14,1.9241,4.2609,-0.7894,-1.1035,-0.2563,-5.3741
15,1.8974,4.4426,-0.7244,-1.0509,-0.1958,-5.3896
16,1.8957,4.6087,-0.6477,-1.0418,-0.1626,-5.4619
17,1.9011,4.7595,-0.5448,-0.9495,-0.1213,-5.4147
18,1.9123,4.8761,-0.4692,-0.8989,-0.0836,-5.4909
19,1.9269,5.0263,-0.3675,-0.8300,-0.0266,-5.4616
20,1.9624,5.1663,-0.3075,-0.7653,0.0111,-5.4897
21,1.9394,5.3091,-0.1920,-0.7215,0.0339,-5.3969
22,1.9919,5.4666,-0.1173,-0.6877,0.0789,-5.4112
23,1.9872,5.5695,-0.0479,-0.6406,0.1165,-5.3155
24,2.0098,5.6668,0.0184,-0.6036,0.1618,-5.3325
25,2.0400,5.7912,0.0963,-0.5636,0.1998,-5.1933
26,2.0745,5.8937,0.1588,-0.5165,0.2421,-5.1483
27,2.1173,5.9644,0.2314,-0.5013,0.2827,-5.0083
28,2.1081,6.0826,0.3084,-0.4522,0.3402,-4.9579
29,2.1217,6.1594,0.3606,-0.4149,0.3731,-4.7802
30,2.1501,6.2441,0.4309,-0.3781,0.3657,-4.7687
31,2.1206,6.3344,0.4854,-0.3509,0.4077,-4.6077
32,2.1586,6.4093,0.5501,-0.3116,0.4433,-4.5353
33,2.2080,6.4670,0.6173,-0.2852,0.4923,-4.3377
34,2.2114,6.5195,0.6861,-0.2580,0.5443,-4.2568
35,2.1874,6.5760,0.7096,-0.2316,0.5769,-4.0832
36,2.1904,6.6168,0.7415,-0.2281,0.6035,-4.0223
37,2.1989,6.6681,0.8018,-0.2122,0.6179,-3.8454
38,2.1996,6.6985,0.8428,-0.1816,0.6367,-3.7276
39,2.1992,6.7375,0.8819,-0.1790,0.6511,-3.5338
40,2.1972,6.7526,0.9266,-0.1631,0.6894,-3.4316
41,2.1972,6.8204,0.9698,-0.1608,0.7028,-3.2275
42,2.1796,6.8260,1.0186,-0.1251,0.7096,-3.0928
43,2.1704,6.8748,1.0395,-0.1137,0.7408,-2.9153
44,2.1569,6.9021,1.0887,-0.1186,0.7590,-2.7452
45,2.1542,6.9095,1.1227,-0.1105,0.7613,-2.5521
46,2.1467,6.9415,1.1399,-0.0744,0.7700,-2.4078
47,2.1609,6.9264,1.1512,-0.0676,0.8009,-2.1711
48,2.1244,6.9629,1.1787,-0.0533,0.8013,-2.0197
49,2.1528,6.9721,1.1359,-0.0358,0.8120,-1.7983
50,2.1386,6.9504,1.1822,-0.0507,0.8275,-1.6275
51,2.0939,6.9627,1.2450,-0.0290,0.8315,-1.4202
52,2.0928,6.9642,1.2503,-0.0153,0.8342,-1.2486
53,2.1037,6.9639,1.2681,-0.0137,0.8352,-1.0186
54,2.0952,6.9627,1.2735,0.0506,0.8395,-0.8526
55,2.0715,6.9522,1.2804,0.0328,0.8469,-0.5952
56,2.0806,6.9504,1.2941,0.0260,0.8573,-0.4317
57,2.0410,6.8945,1.3098,0.0409,0.8688,-0.2103
58,2.0308,6.8662,1.3507,0.0539,0.8788,-0.0293
59,2.0122,6.8788,1.3141,0.0523,0.8775,0.1983
60,1.9482,6.8334,1.3491,0.0432,0.8869,0.3436
61,1.9617,6.7925,1.3510,0.0341,0.9111,0.5785
62,1.9286,6.7326,1.3808,0.0523,0.9134,0.7298
63,1.9685,6.7256,1.3832,0.0656,0.9269,0.9264
64,1.9313,6.6752,1.3848,0.0584,0.9228,1.0377
65,1.8923,6.6390,1.4117,0.0523,0.9292,1.2310
66,1.8682,6.5619,1.3948,0.0591,0.9430,1.3150
67,1.8337,6.5161,1.4227,0.0393,0.9625,1.5286
68,1.7693,6.4517,1.4267,0.0809,0.9611,1.6021
69,1.7331,6.3955,1.4248,0.0870,0.9782,1.7814
70,1.6789,6.3187,1.4392,0.0724,0.9709,1.8341
71,1.6315,6.2557,1.4549,0.0851,0.9796,1.9931
72,1.5773,6.1461,1.4483,0.0857,0.9746,2.0608
73,1.5176,6.0992,1.4621,0.0783,0.9675,2.1929
74,1.4827,5.9815,1.4667,0.1075,0.9762,2.2301
75,1.3804,5.8984,1.4739,0.0951,0.9665,2.3440
76,1.2978,5.7826,1.4789,0.0870,0.9796,2.3619
77,1.2229,5.6785,1.4624,0.1046,0.9719,2.4503
78,1.1199,5.6076,1.4686,0.1289,0.9954,2.4972
79,0.9994,5.5078,1.4474,0.1338,0.9594,2.5599
80,0.8794,5.3597,1.4520,0.1331,0.9480,2.5994
81,0.7578,5.2216,1.4430,0.1179,0.9507,2.6355
82,0.6257,5.0647,1.4486,0.1065,0.9641,2.6648
83,0.4787,4.9450,1.4527,0.1289,0.9618,2.6844
84,0.3351,4.7770,1.4436,0.1510,0.9574,2.6902
85,0.1721,4.6539,1.4392,0.1234,0.9631,2.6964
86,0.0058,4.4616,1.4348,0.1263,0.9655,2.7544
87,-0.1450,4.3048,1.4464,0.0961,0.9618,2.7391
88,-0.3292,4.1577,1.4308,0.1075,0.9554,2.7857
89,-0.5020,4.0115,1.4227,0.1354,0.9557,2.7807
90,-0.6985,3.8454,1.4452,0.1270,0.9608,2.7828
91,-0.8618,3.6766,1.4289,0.1390,0.9635,2.7986
92,-1.0335,3.4674,1.3873,0.1244,0.9581,2.8077
93,-1.2225,3.2885,1.4164,0.1237,0.9621,2.8200
94,-1.3709,3.0692,1.3961,0.1137,0.9500,2.8355
95,-1.5301,2.8215,1.3814,0.1338,0.9836,2.8739
96,-1.6341,2.6004,1.4036,0.1328,0.9675,2.8522
97,-1.9248,2.3407,1.3498,0.1143,0.9534,2.8393
98,-2.0732,2.1098,1.3279,0.1364,0.9581,2.8754
99,-2.3015,1.8504,1.3410,0.1146,0.9665,2.8724
100,-2.4888,1.5750,1.3151,0.0627,0.9410,2.8792
101,-2.6565,1.3272,1.3029,0.0594,0.9252,2.8745
102,-2.8618,1.1034,1.2835,0.0679,0.9292,2.8836
103,-3.0667,0.8587,1.2669,0.0682,0.9218,2.9181
104,-3.2439,0.6322,1.2444,0.0610,0.9101,2.9005
105,-3.4126,0.4216,1.2219,0.0594,0.9081,2.9173
106,-3.6168,0.2070,1.1937,0.0880,0.8818,2.8809
107,-3.7669,-0.0095,1.1399,0.0867,0.8607,2.9243
108,-3.9386,-0.2462,1.1499,0.0841,0.8416,2.8991
109,-4.1029,-0.4485,1.1083,0.0890,0.8268,2.9298
110,-4.2537,-0.6729,1.0936,0.0861,0.8187,2.9134
111,-4.3838,-0.8957,1.0364,0.0506,0.8093,2.9222
112,-4.4796,-1.1533,1.0123,0.0273,0.7808,2.8900
113,-4.6083,-1.3577,0.9592,0.0516,0.7502,2.9360
114,-4.7330,-1.5438,0.8822,0.0201,0.7415,2.9237
115,-4.8302,-1.7442,0.8766,0.0152,0.6985,2.9539
116,-4.9224,-1.9619,0.8278,0.0198,0.6669,2.9131
117,-5.0095,-2.1584,0.7887,-0.0056,0.6619,2.9565
118,-5.1097,-2.3134,0.7496,0.0029,0.6156,2.9205
119,-5.1968,-2.4653,0.7093,-0.0140,0.6021,2.9471
120,-5.2659,-2.6120,0.6333,-0.0127,0.5534,2.9175
121,-5.3245,-2.7351,0.5736,-0.0280,0.5340,2.9535
122,-5.3997,-2.8659,0.5251,-0.0462,0.4977,2.8979
123,-5.4281,-3.0648,0.4507,-0.0523,0.4621,2.9466
124,-5.4850,-3.2112,0.3715,-0.0640,0.4167,2.8988
125,-5.5467,-3.3589,0.3043,-0.0877,0.3774,2.9237
126,-5.5667,-3.4627,0.2186,-0.0699,0.3204,2.9070
127,-5.6083,-3.5851,0.0972,-0.0809,0.2703,2.9219
128,-5.6151,-3.7245,0.0544,-0.1209,0.2193,2.8965
129,-5.6117,-3.8537,-0.0369,-0.1274,0.1827,3.0098
130,-5.6351,-3.9483,-0.0923,-0.1254,0.1575,2.9296
131,-5.6056,-4.0204,-0.1970,-0.1664,0.0960,2.9741
132,-5.5904,-4.1628,-0.2743,-0.1953,0.0420,2.9626
133,-5.5518,-4.2534,-0.3806,-0.2177,-0.0047,2.9290
134,-5.5165,-4.3332,-0.4798,-0.2131,-0.0427,2.9635
135,-5.4434,-4.3841,-0.5749,-0.2615,-0.1219,2.9087
136,-5.3587,-4.4523,-0.6959,-0.3161,-0.1797,2.9240
137,-5.3221,-4.5370,-0.8060,-0.3304,-0.2452,2.8610
138,-5.2384,-4.6137,-0.9255,-0.3863,-0.2892,2.9243
139,-5.1226,-4.6506,-1.0593,-0.4269,-0.3473,2.8836
140,-5.0402,-4.7218,-1.2026,-0.4672,-0.4211,2.8853
141,-4.9203,-4.7635,-1.3596,-0.4915,-0.4907,2.8762
142,-4.8086,-4.8145,-1.4468,-0.5451,-0.5655,2.8437
143,-4.6836,-4.8734,-1.5929,-0.6059,-0.6216,2.8607
144,-4.5653,-4.8918,-1.7415,-0.6387,-0.6848,2.7980
145,-4.4478,-4.9197,-1.9019,-0.7014,-0.7630,2.8270
146,-4.3384,-4.9535,-2.0655,-0.7651,-0.8430,2.7690
147,-4.1653,-4.9520,-2.1890,-0.8274,-0.8954,2.7631
148,-4.0288,-4.9520,-2.3329,-0.9128,-0.9924,2.7057
