开始时间：,,2025-10-21 16.33.24.134,2025-10-21 16.33.24.134,2025-10-21 16.33.24.134,2025-10-21 16.33.24.134,2025-10-21 16.33.24.134,2025-10-21 16.33.24.134
结束时间：,,2025-10-21 16.35.54.129,2025-10-21 16.35.54.129,2025-10-21 16.35.54.129,2025-10-21 16.35.54.129,2025-10-21 16.35.54.129,2025-10-21 16.35.54.129
采样频率：,,200Hz,200Hz,200Hz,200Hz,200Hz,200Hz
数据长度：,,30000,30000,30000,30000,30000,30000
序列号:,,201119103,201119084,201119085,201119088,201119101,201119105
测点标签:,,1,9084,9085,9088,9101,9105
序号：,相对时间,波高(mm),波高(mm),波高(mm),波高(mm),波高(mm),波高(mm)
1,0.0000,-4.6985,-0.7779,3.1212,2.9442,-3.1122,2.6729
2,0.0050,-4.6202,-0.9373,3.1102,2.9461,-2.9983,2.7672
3,0.0100,-4.5413,-1.0735,3.1140,2.9633,-2.8667,2.8970
4,0.0150,-4.5000,-1.1951,3.1315,2.9747,-2.7706,2.9544
5,0.0200,-4.3909,-1.3247,3.1290,2.9802,-2.6725,3.0654
6,0.0250,-4.3614,-1.4595,3.1259,2.9555,-2.5691,3.1129
7,0.0300,-4.2646,-1.5795,3.1256,2.9672,-2.4664,3.2016
8,0.0350,-4.2161,-1.7526,3.1021,2.9640,-2.3629,3.2500
9,0.0400,-4.1019,-1.8481,3.0799,2.9549,-2.2857,3.2998
10,0.0450,-4.0088,-1.9586,3.0821,2.9689,-2.1883,3.3510
11,0.0500,-3.8801,-2.0856,3.0918,2.9464,-2.0812,3.3688
12,0.0550,-3.7771,-2.2444,3.0771,2.9120,-1.9858,3.4360
13,0.0600,-3.6592,-2.3490,3.0727,2.9296,-1.8665,3.4899
14,0.0650,-3.6060,-2.4663,3.0496,2.9062,-1.7064,3.5370
15,0.0700,-3.4783,-2.5777,3.0743,2.9380,-1.5875,3.5947
16,0.0750,-3.3781,-2.7242,3.0474,2.9438,-1.4944,3.6292
17,0.0800,-3.2700,-2.8270,3.0433,2.9302,-1.4071,3.6144
18,0.0850,-3.1592,-2.9332,3.0436,2.9000,-1.2812,3.6925
19,0.0900,-3.0559,-3.0189,3.0189,2.9344,-1.1623,3.7397
20,0.0950,-2.9400,-3.1168,3.0227,2.9237,-1.0528,3.7617
21,0.1000,-2.8391,-3.2028,3.0111,2.9065,-0.9427,3.7318
22,0.1050,-2.7591,-3.3181,2.9967,2.9172,-0.8500,3.7271
23,0.1100,-2.6101,-3.4026,2.9848,2.8860,-0.7153,3.7353
24,0.1150,-2.5315,-3.5051,2.9708,2.8951,-0.6112,3.7611
25,0.1200,-2.4018,-3.6122,2.9592,2.8922,-0.4893,3.7698
26,0.1250,-2.3161,-3.6853,2.9523,2.8841,-0.3361,3.8677
